from_date,station_id,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,O-Xylene,Temp,RH,SR,BP,PM2.5,NMHC,THC,PM10,NO,NO2,NOx,NH3,SO2,CO,month,is_festival,is_secondary_event,is_local_event,hour,day_of_week,is_weekend,is_winter,is_early_month,PM25_lag_1,PM25_lag_6,PM25_lag_24,is_peak_hour
2025-01-02 01:00:00,RVCE_Mailsandra,21.64,1.76,0.85,0.86,0.74,75.0,2.45,246.95,,,0.0,0.0,20.84,108.87,5.88,22.42,29.0,25.38,4.16,0.55,1,0,0,0,1,3,0,1,1,0.0,0.0,0.48,0
2025-01-02 01:00:00,Peenya,32.14,0.65,1.84,,0.64,,,93.5,5.59,952.46,51.4,,,100.88,7.87,17.14,25.18,12.87,8.86,0.86,1,0,0,0,1,3,0,1,1,56.64,59.17,48.99,0
2025-01-02 02:00:00,Silkboard,22.5,0.88,1.98,,,27.17,63.75,,715.75,,73.25,,,115.25,1.43,13.8,8.48,1.8,9.0,0.63,1,0,0,0,2,3,0,1,1,76.5,44.5,70.0,0
2025-01-02 02:00:00,RVCE_Mailsandra,22.06,1.81,0.82,0.84,0.73,75.78,2.47,245.2,,,0.0,0.0,20.57,130.33,6.0,22.19,28.77,25.23,4.38,0.78,1,0,0,0,2,3,0,1,1,0.0,0.0,0.46,0
2025-01-02 02:00:00,Peenya,32.54,0.67,1.9,,0.65,,,93.53,5.59,952.32,53.55,,,105.1,7.84,17.0,24.95,12.85,8.1,0.86,1,0,0,0,2,3,0,1,1,51.4,64.15,50.97,0
2025-01-02 03:00:00,RVCE_Mailsandra,22.25,1.83,0.83,0.85,0.76,72.53,2.35,227.36,,,0.0,0.0,20.48,148.26,6.05,22.3,28.89,25.48,4.41,0.64,1,0,0,0,3,3,0,1,1,0.0,0.0,0.415,0
2025-01-02 03:00:00,Silkboard,20.39,0.88,1.95,,,27.17,63.0,,715.0,,65.25,,,113.75,1.12,14.0,8.38,1.77,9.07,0.58,1,0,0,0,3,3,0,1,1,73.25,46.5,,0
2025-01-02 03:00:00,Peenya,32.72,0.67,1.88,,0.65,,,93.5,5.59,952.23,52.3,,,102.65,7.09,17.46,24.57,12.09,8.24,0.88,1,0,0,0,3,3,0,1,1,53.55,69.9,48.21,0
2025-01-02 04:00:00,Peenya,32.27,0.65,1.86,,0.65,,,93.5,5.59,952.25,50.48,,,99.08,7.23,17.58,25.03,12.23,6.78,0.86,1,0,0,0,4,3,0,1,1,52.3,58.19,45.52,0
2025-01-02 04:00:00,Silkboard,21.13,0.9,1.95,,,27.1,62.75,,715.0,,57.0,,,92.25,1.2,14.1,8.5,1.7,9.05,0.57,1,0,0,0,4,3,0,1,1,65.25,50.5,,0
2025-01-02 04:00:00,RVCE_Mailsandra,22.56,1.86,0.81,0.91,0.74,70.74,2.33,222.12,,,0.0,0.0,20.38,123.03,6.13,22.04,29.52,25.4,4.49,0.79,1,0,0,0,4,3,0,1,1,0.0,0.0,0.415,0
2025-01-02 05:00:00,RVCE_Mailsandra,22.2,1.82,0.87,0.89,0.71,68.94,2.29,223.64,,,0.0,0.0,20.22,81.33,6.04,22.59,29.28,25.05,4.46,0.6,1,0,0,0,5,3,0,1,1,0.0,0.0,0.435,0
2025-01-02 05:00:00,Peenya,32.41,0.64,1.86,,0.66,,,93.5,5.59,952.32,44.9,,,88.14,7.67,16.51,24.31,12.67,6.93,0.87,1,0,0,0,5,3,0,1,1,50.48,57.19,44.18,0
2025-01-02 05:00:00,Silkboard,20.02,0.82,1.85,,,27.3,61.75,,715.5,,54.0,,,102.25,1.3,15.25,9.18,1.72,8.6,0.56,1,0,0,0,5,3,0,1,1,57.0,60.75,,0
2025-01-02 06:00:00,Peenya,32.75,0.66,1.87,,0.64,,,93.5,5.59,952.49,43.87,,,86.11,7.21,17.35,24.64,12.21,8.59,0.86,1,0,0,0,6,3,0,1,1,44.9,56.64,40.5,0
2025-01-02 06:00:00,Silkboard,21.01,0.9,1.95,,,27.4,60.75,,716.5,,46.5,,,108.5,0.97,16.48,9.6,1.67,9.1,0.67,1,0,0,0,6,3,0,1,1,54.0,71.0,,0
2025-01-02 06:00:00,RVCE_Mailsandra,22.3,1.83,0.82,0.81,0.75,71.65,2.67,250.0,,,0.0,0.0,19.81,68.56,6.06,22.16,28.45,25.46,4.29,0.71,1,0,0,0,6,3,0,1,1,0.0,0.0,0.395,0
2025-01-02 07:00:00,Silkboard,19.85,0.9,2.0,,,27.15,60.5,,717.25,,54.0,,,127.75,0.75,16.18,9.2,1.88,9.28,0.71,1,0,0,0,7,3,0,1,1,46.5,76.5,,0
2025-01-02 07:00:00,Peenya,31.51,0.66,1.93,,0.65,,,93.47,5.98,952.68,42.88,,,84.17,7.83,16.67,24.69,12.83,7.66,0.87,1,0,0,0,7,3,0,1,1,43.87,51.4,38.89,0
2025-01-02 07:00:00,RVCE_Mailsandra,22.28,1.83,0.8,0.85,0.73,68.48,2.33,233.12,,,0.0,0.0,20.34,89.6,6.06,21.95,28.91,25.22,4.36,0.62,1,0,0,0,7,3,0,1,1,0.0,0.0,0.355,0
2025-01-02 08:00:00,Silkboard,21.23,0.85,1.85,,,27.2,61.0,,718.0,,61.0,,,131.0,1.12,15.08,8.92,1.93,8.68,0.62,1,0,0,0,8,3,0,1,1,54.0,73.25,,1
2025-01-02 08:00:00,Peenya,32.52,0.65,1.88,,0.64,,,69.0,240.38,952.83,44.83,,,88.01,7.92,17.86,25.88,12.92,7.38,0.86,1,0,0,0,8,3,0,1,1,42.88,53.55,39.81,1
2025-01-02 08:00:00,RVCE_Mailsandra,22.13,1.81,0.78,0.88,0.76,54.63,2.44,226.57,,,0.0,0.0,22.06,86.08,6.02,21.81,29.19,25.6,4.53,0.8,1,0,0,0,8,3,0,1,1,0.0,0.0,0.475,1
2025-01-02 09:00:00,RVCE_Mailsandra,21.79,1.77,0.78,0.87,0.75,45.32,2.47,237.08,,,0.0,0.0,23.61,61.16,5.93,21.8,29.12,25.41,4.21,0.68,1,0,0,0,9,3,0,1,1,0.0,0.0,0.64,1
2025-01-02 09:00:00,Silkboard,22.09,0.85,1.85,,,27.35,57.0,,718.0,,52.75,,,119.5,1.4,14.62,8.93,1.85,8.58,0.58,1,0,0,0,9,3,0,1,1,61.0,65.25,,1
2025-01-02 09:00:00,Peenya,32.34,0.64,1.86,,0.63,,,44.8,368.64,952.93,49.89,,,97.92,6.73,19.62,26.08,11.73,6.83,0.86,1,0,0,0,9,3,0,1,1,44.83,52.3,43.35,1
2025-01-02 10:00:00,Silkboard,21.36,0.8,1.77,,,27.98,53.5,,718.0,,44.25,,,136.0,1.23,14.28,8.57,1.95,8.25,0.58,1,0,0,0,10,3,0,1,1,52.75,57.0,,1
2025-01-02 10:00:00,Peenya,32.53,0.65,1.85,,0.65,,,41.52,359.92,952.96,54.21,,,106.4,6.45,17.34,23.81,11.45,6.75,0.87,1,0,0,0,10,3,0,1,1,49.89,50.48,45.59,1
2025-01-02 10:00:00,RVCE_Mailsandra,21.94,1.79,0.82,0.82,0.8,44.22,2.34,245.97,,,0.0,0.0,24.36,62.86,5.97,22.18,28.47,25.94,4.45,0.77,1,0,0,0,10,3,0,1,1,0.0,0.0,0.595,1
2025-01-02 11:00:00,Silkboard,21.04,0.9,1.98,,,27.73,51.5,,717.5,,37.75,,,143.25,1.1,14.0,8.35,2.0,9.15,0.44,1,0,0,0,11,3,0,1,1,44.25,54.0,,1
2025-01-02 11:00:00,Peenya,33.24,0.68,1.79,,0.62,,,35.65,544.33,952.81,18.42,,,36.22,6.35,17.96,24.22,11.35,8.59,0.82,1,0,0,0,11,3,0,1,1,54.21,44.9,46.3,1
